ID.language,ID.date,Q2,Q3,Q4,Q12,Q13,Q14.a,Q14.b,Q14.c,Q14.d,Q14.e,Q14.f,Q14.g,Q14.h,Q14.i,Q14.j,Q14.k,Q14.l,Q14.m,Q14.n,Q15,Q16,Q17,Q18,Q19.a,Q19.b,Q19.c,Q19.d,Q19.e,Q19.f,Q19.g,Q19.h,Q19.i,Q19.j,Q19.k,Q19.l,Q19.m,Q19.n,Q19.o,Q19.p,Q19.q,Q19.r,Q20,Q21,Q22,Q24.a,Q24.b,Q24.c,Q24.d,Q24.e,Q24.f,Q25,Q26,Q27.a,Q27.b,Q27.c,Q27.d,Q27.e,Q27.f,Q28,Q30,Q32,Q33.a,Q33.b,Q33.c,Q33.d,Q33.e,Q34.a,Q34.b,Q34.c,Q34.d,Q34.e,Q34.f,Q34.g,Q38,Q39.a,Q46.a,Q46.b,Q46.c,Q46.d,Q46.e,Q46.f,Q46.g,Q46.h,Q46.i,Q46.j,Q46.k,Q46.l,Q46.m,Q47.a,Q47.b,Q47.c,Q52,Q53,Q55
English,06/14/2019,I want to pursue an academic career, No,North or Central America,No,,NA,NA,NA,5,NA,NA,2,1,NA,NA,3,NA,4,NA,Intellectual challenge,Somewhat satisfied,6,Improved slightly,7,7,5,7,7,7,6,7,5,3,1,2,5,5,7,7,6,5,Does not meet original expectations,61-70 hours,Less than an hour,1,3,2,1,2,2,Yes,"No, I sought help elsewhere",1,3,1,3,3,4,No,Yes,Somewhat,1,5,2,3,4,5,4,5,4,NA,NA,NA,1 to 2 years,Much more likely,4,4,3,4,5,5,2,3,2,2,2,2,2,3,3,3,25 - 34,Male (including trans male),no
English,06/14/2019,Personal interest in my subject of choice,Yes,North or Central America,No,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intellectual challenge,Very satisfied,6,Stayed the same,3,3,6,7,6,6,6,4,3,6,4,4,5,6,6,6,4,5,Meets original expectations,61-70 hours,Less than an hour,3,4,4,2,3,2,No,,2,2,2,3,2,4,No,No,Dramatically,1,4,2,NA,3,5,2,2,1,4,1,1,2 to 3 years,Equally likely,5,4,4,5,5,5,5,4,4,4,3,2,2,NA,4,4,25 - 34,Male (including trans male),no
English,06/14/2019,I want to pursue an academic career, No,North or Central America,No,,1,NA,2,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,University/academic environment,Somewhat satisfied,5,Improved greatly,1,5,5,5,6,6,4,2,2,3,5,4,5,5,2,2,4,2,Meets original expectations,71-80 hours,More than three hours,3,4,4,4,4,2,Prefer not to say,,4,3,5,5,4,4,No,No,Substantially,NA,2,NA,1,NA,4,4,4,2,2,2,2,2 to 3 years,Equally likely,4,4,4,3,3,4,4,3,3,4,2,4,2,4,4,4,25 - 34,Male (including trans male),no
English,06/14/2019,No job I want is available without a PhD,Yes,North or Central America,No,,NA,2,NA,NA,NA,5,3,4,1,NA,NA,6,NA,NA,Intellectual challenge,Somewhat dissatisfied,3,Significantly worsened,1,4,4,4,5,5,4,2,1,5,2,NA,5,6,4,4,3,5,Does not meet original expectations,51-60 hours,Less than an hour,5,4,4,NA,4,1,Yes,"Yes, but I didn’t feel supported",1,1,1,1,1,3,No,No,Dramatically,5,4,3,2,1,1,3,4,4,4,4,4,Less than a year,Much less likely,5,5,5,5,2,3,3,2,1,2,1,1,1,1,3,2,25 - 34,Male (including trans male),no
English,06/14/2019,Personal interest in my subject of choice,Yes,North or Central America,No,,2,6,11,3,9,1,8,5,14,7,12,10,4,13,Intellectual challenge,Somewhat dissatisfied,4 = Neither satisfied nor dissatisfied,Significantly worsened,7,5,4,4,3,4,3,2,7,6,1,2,3,6,4,7,3,3,Does not meet original expectations,71-80 hours,Less than an hour,2,5,3,1,3,1,No,,1,1,2,3,2,4,No,No,Somewhat,2,4,3,5,1,5,1,4,2,5,1,2,More than 6 years,Much less likely,4,4,3,4,5,5,3,5,2,3,1,3,2,NA,2,2,25 - 34,Female (including trans female),no
English,06/14/2019,I want to pursue an academic career,Yes,Asia (including Middle East),No,,13,2,3,1,4,14,5,12,7,11,6,8,9,10,University/academic environment,Somewhat satisfied,5,Worsened a little,6,5,5,6,5,6,6,6,7,5,6,6,3,7,7,7,5,6,Does not meet original expectations,61-70 hours,Less than an hour,4,4,4,2,4,1,Yes,I didn’t seek help,4,4,5,5,2,5,No,No,Substantially,1,3,2,5,4,5,3,4,1,1,1,1,2 to 3 years,Somewhat more likely,4,4,4,4,4,5,2,4,3,1,5,4,4,4,3,4,18 - 24,Male (including trans male),no
English,06/14/2019,Personal interest in my subject of choice,Yes,Europe,No,,NA,NA,NA,1,2,NA,NA,3,NA,NA,NA,4,NA,NA,Intellectual challenge,Somewhat satisfied,6,Stayed the same,5,4,4,7,6,6,5,5,5,6,4,5,6,4,5,5,5,5,Meets original expectations,51-60 hours,Between one and three hours,4,4,3,2,3,1,No,,4,3,4,4,5,1,No,No,Somewhat,1,2,3,4,5,5,4,3,2,1,3,3,Less than a year,Equally likely,4,4,4,3,4,4,4,4,4,4,3,4,3,NA,4,3,25 - 34,Male (including trans male),no
Spanish,06/14/2019,Personal interest in my subject of choice,Yes,North or Central America,No,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University/academic environment,Neither satisfied nor dissatisfied,4 = Neither satisfied nor dissatisfied,Worsened a little,4,4,1,5,4,4,5,3,3,4,4,4,2,2,4,4,2,2,Meets original expectations,21-30 hours,Less than an hour,2,3,3,3,3,3,Yes,I didn’t seek help,1,3,1,1,3,5,No,No,Somewhat,1,2,5,3,4,4,4,3,3,1,4,4,More than 6 years,Much more likely,3,2,2,3,3,3,3,1,2,2,2,3,2,4,4,3,25 - 34,Male (including trans male),no
Spanish,06/14/2019,I want to pursue an academic career,Yes,North or Central America,No,,NA,1,NA,4,5,6,7,NA,NA,2,3,NA,NA,NA,University/academic environment,Very satisfied,7 = Extremely satisfied,Improved greatly,6,6,7,7,7,7,7,6,7,6,6,7,7,7,7,7,6,7,Exceeds original expectations,51-60 hours,More than three hours,4,4,3,2,5,1,No,,1,3,1,1,3,5,No,No,Substantially,1,NA,2,NA,3,5,3,2,4,5,3,2,Unsure,Somewhat more likely,4,4,5,5,2,5,5,3,4,3,1,4,3,NA,3,3,25 - 34,Female (including trans female),yes
English,06/14/2019,Personal interest in my subject of choice, No,Europe,No,,NA,1,NA,NA,NA,2,3,4,NA,5,NA,NA,6,NA,Creativity,Very satisfied,6,Worsened a little,4,4,7,5,4,5,6,5,6,4,7,4,5,6,5,5,5,4,Meets original expectations,41-50 hours,Between one and three hours,5,4,2,2,5,1,No,,5,3,4,4,3,3,No,No,Dramatically,1,2,NA,NA,NA,4,4,1,1,4,2,1,1 to 2 years,Equally likely,5,5,5,5,4,5,4,4,3,5,2,3,2,4,3,3,25 - 34,Female (including trans female),no
